attribute_id,attribute_name,attribute_question,group_id,active,attribute_tooltip
0100,"{""fi"":""Asunnot"",""sv"":""[Svenska]Asunnot"",""en"":""[English]Asunnot""}","{""fi"":""Onko rakennuksessa asunto tai asuntoja?"",""sv"":""[Svenska]Onko rakennuksessa asunto tai asuntoja?"",""en"":""[English]Onko rakennuksessa asunto tai asuntoja?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0101,"{""fi"":""Asuinhuone"",""sv"":""[Svenska]Asuinhuone"",""en"":""[English]Asuinhuone""}","{""fi"":""Onko rakennuksessa asuinhuone?"",""sv"":""[Svenska]Onko rakennuksessa asuinhuone?"",""en"":""[English]Onko rakennuksessa asuinhuone?""}",,True,"{""fi"":""Asuinhuone on muu asumiseen soveltuva asuinhuoneiston huone, jonka käyttötarkoitusta ei ole eritelty. Esimerkiksi työhuone, kirjastohuone tai vierashuone."",""sv"":""[Svenska]Asuinhuone on muu asumiseen soveltuva asuinhuoneiston huone, jonka käyttötarkoitusta ei ole eritelty. Esimerkiksi työhuone, kirjastohuone tai vierashuone."",""en"":""[English]Asuinhuone on muu asumiseen soveltuva asuinhuoneiston huone, jonka käyttötarkoitusta ei ole eritelty. Esimerkiksi työhuone, kirjastohuone tai vierashuone.""}"
0102,"{""fi"":""Eteinen"",""sv"":""[Svenska]Eteinen"",""en"":""[English]Eteinen""}","{""fi"":""Onko rakennuksessa eteinen?"",""sv"":""[Svenska]Onko rakennuksessa eteinen?"",""en"":""[English]Onko rakennuksessa eteinen?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0103,"{""fi"":""Keittiö"",""sv"":""[Svenska]Keittiö"",""en"":""[English]Keittiö""}","{""fi"":""Onko rakennuksessa keittiö?"",""sv"":""[Svenska]Onko rakennuksessa keittiö?"",""en"":""[English]Onko rakennuksessa keittiö?""}",2,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0104,"{""fi"":""Kodinhoitohuone"",""sv"":""[Svenska]Kodinhoitohuone"",""en"":""[English]Kodinhoitohuone""}","{""fi"":""Onko rakennuksessa kodinhoitohuone?"",""sv"":""[Svenska]Onko rakennuksessa kodinhoitohuone?"",""en"":""[English]Onko rakennuksessa kodinhoitohuone?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0105,"{""fi"":""Käytävä"",""sv"":""[Svenska]Käytävä"",""en"":""[English]Käytävä""}","{""fi"":""Onko rakennuksessa käytävä?"",""sv"":""[Svenska]Onko rakennuksessa käytävä?"",""en"":""[English]Onko rakennuksessa käytävä?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0106,"{""fi"":""Löylyhuone"",""sv"":""[Svenska]Löylyhuone"",""en"":""[English]Löylyhuone""}","{""fi"":""Onko rakennuksessa sauna?"",""sv"":""[Svenska]Onko rakennuksessa sauna?"",""en"":""[English]Onko rakennuksessa sauna?""}",3,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0107,"{""fi"":""Makuuhuone"",""sv"":""[Svenska]Makuuhuone"",""en"":""[English]Makuuhuone""}","{""fi"":""Onko rakennuksessa makuuhuone?"",""sv"":""[Svenska]Onko rakennuksessa makuuhuone?"",""en"":""[English]Onko rakennuksessa makuuhuone?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0108,"{""fi"":""Olohuone"",""sv"":""[Svenska]Olohuone"",""en"":""[English]Olohuone""}","{""fi"":""Onko rakennuksessa olohuone?"",""sv"":""[Svenska]Onko rakennuksessa olohuone?"",""en"":""[English]Onko rakennuksessa olohuone?""}",,True,"{""fi"":""Olohuone on asunnon huone, joka on tarkoitettu vapaa-ajan viettoon, esimerkiksi oleskeluun, rentoutumiseen ja oman perheen tai vieraiden kanssa seurusteluun. Olohuoneita esiintyy asuntojen lisäksi myös majoitus- ja laitosrakennuksissa, kun tavoitellaan kodinomaisuutta. Esimerkiksi hotellien sviitit, yhteismajoituksen yhteistilat, laitosten yhteistilat ja harjoitteluasunnot."",""sv"":""[Svenska]Olohuone on asunnon huone, joka on tarkoitettu vapaa-ajan viettoon, esimerkiksi oleskeluun, rentoutumiseen ja oman perheen tai vieraiden kanssa seurusteluun. Olohuoneita esiintyy asuntojen lisäksi myös majoitus- ja laitosrakennuksissa, kun tavoitellaan kodinomaisuutta. Esimerkiksi hotellien sviitit, yhteismajoituksen yhteistilat, laitosten yhteistilat ja harjoitteluasunnot."",""en"":""[English]Olohuone on asunnon huone, joka on tarkoitettu vapaa-ajan viettoon, esimerkiksi oleskeluun, rentoutumiseen ja oman perheen tai vieraiden kanssa seurusteluun. Olohuoneita esiintyy asuntojen lisäksi myös majoitus- ja laitosrakennuksissa, kun tavoitellaan kodinomaisuutta. Esimerkiksi hotellien sviitit, yhteismajoituksen yhteistilat, laitosten yhteistilat ja harjoitteluasunnot.""}"
0109,"{""fi"":""Pesuhuone"",""sv"":""[Svenska]Pesuhuone"",""en"":""[English]Pesuhuone""}","{""fi"":""Onko rakennuksessa pesuhuone?"",""sv"":""[Svenska]Onko rakennuksessa pesuhuone?"",""en"":""[English]Onko rakennuksessa pesuhuone?""}",4,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0110,"{""fi"":""Ruokailutila"",""sv"":""[Svenska]Ruokailutila"",""en"":""[English]Ruokailutila""}","{""fi"":""Onko rakennuksessa ruokailutila?"",""sv"":""[Svenska]Onko rakennuksessa ruokailutila?"",""en"":""[English]Onko rakennuksessa ruokailutila?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0111,"{""fi"":""Tuulikaappi"",""sv"":""[Svenska]Tuulikaappi"",""en"":""[English]Tuulikaappi""}","{""fi"":""Onko rakennuksessa tuulikaappi?"",""sv"":""[Svenska]Onko rakennuksessa tuulikaappi?"",""en"":""[English]Onko rakennuksessa tuulikaappi?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0112,"{""fi"":""Vaatehuone"",""sv"":""[Svenska]Vaatehuone"",""en"":""[English]Vaatehuone""}","{""fi"":""Onko rakennuksessa vaatehuone?"",""sv"":""[Svenska]Onko rakennuksessa vaatehuone?"",""en"":""[English]Onko rakennuksessa vaatehuone?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
