class_id,class_name,class_probability
0110,"{""fi"":""Omakotitalot"",""sv"":""Egnahemshus"",""en"":""One-dwelling houses""}",0.04
0111,"{""fi"":""Paritalot"",""sv"":""Parhus"",""en"":""Two-dwelling houses""}",0.04
0112,"{""fi"":""Rivitalot"",""sv"":""Radhus"",""en"":""Terraced houses""}",0.04
0120,"{""fi"":""Pienkerrostalot"",""sv"":""Låghus"",""en"":""Low-rise blocks of flats""}",0.04
0121,"{""fi"":""Asuinkerrostalot"",""sv"":""Flervåningsbostadshus"",""en"":""Residential blocks of flats""}",0.04
0130,"{""fi"":""Asuntolarakennukset"",""sv"":""Kollektivbostadsbyggnader"",""en"":""Residential buildings for communities""}",0.01
0140,"{""fi"":""Erityisryhmien asuinrakennukset"",""sv"":""Bostadsbyggnader för speciella grupper"",""en"":""Dwellings for special groups""}",0.01
0210,"{""fi"":""Ympärivuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"",""sv"":""Fritidsbostadshus som passar för användning året runt"",""en"":""Free-time residential buildings suitable for year-round use""}",0.02
0211,"{""fi"":""Osavuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"",""sv"":""Fritidsbostadshus som passar för användning en del av året"",""en"":""Free-time residential buildings suitable for use part of the year""}",0.02
0310,"{""fi"":""Tukku- ja vähittäiskaupan myymälähallit"",""sv"":""Butikshallar för parti- och detaljhandel"",""en"":""Shopping halls""}",0.01
0311,"{""fi"":""Kauppakeskukset ja liike- ja tavaratalot"",""sv"":""Handelscentra, affärs- och varuhus"",""en"":""Shops, department stores and shopping centres""}",0.01
0319,"{""fi"":""Muut myymälärakennukset"",""sv"":""Övriga butiksbyggnader"",""en"":""Other wholesale and retail trade buildings""}",0.01
0320,"{""fi"":""Hotellit"",""sv"":""Hotell"",""en"":""Hotels""}",0.01
0321,"{""fi"":""Motellit, hostellit ja vastaavat majoitusliikerakennukset"",""sv"":""Motell, vandrarhem och motsvarande byggnader för inkvarteringsanläggningar"",""en"":""Motels, hostels and similar accommodation buildings""}",0.01
0322,"{""fi"":""Loma-, lepo- ja virkistyskodit"",""sv"":""Semester-, vilo- och rekreationshem"",""en"":""Holiday, rest and recreation homes""}",0.01
0329,"{""fi"":""Muut majoitusliikerakennukset"",""sv"":""Övriga byggnader för inkvarteringsanläggningar"",""en"":""Other hotel buildings""}",0.01
0330,"{""fi"":""Ravintolarakennukset ja vastaavat liikerakennukset"",""sv"":""Restaurangbyggnader och motsvarande affärsbyggnader"",""en"":""Restaurants and other similar buildings""}",0.01
0400,"{""fi"":""Toimistorakennukset"",""sv"":""Kontorsbyggnader"",""en"":""Office buildings""}",0.01
0510,"{""fi"":""Asemarakennukset ja terminaalit"",""sv"":""Stationsbyggnader och terminaler"",""en"":""Station buildings and terminals""}",0.008
0511,"{""fi"":""Ammattiliikenteen kaluston suojarakennukset"",""sv"":""Garagebyggnader för fordon i yrkestrafik"",""en"":""Vehicle depots for professional transport""}",0.008
0512,"{""fi"":""Ammattiliikenteen kaluston huoltorakennukset"",""sv"":""Servicebyggnader för fordon i yrkestrafik"",""en"":""Vehicle service buildings for professional transport""}",0.008
0513,"{""fi"":""Pysäköintitalot ja -hallit"",""sv"":""Parkeringshus och -hallar"",""en"":""Car parks and multi-storey car parks""}",0.008
0514,"{""fi"":""Kulkuneuvojen katokset"",""sv"":""Parkeringstak för fortskaffningsmedel"",""en"":""Vehicle ports""}",0.01
0520,"{""fi"":""Datakeskukset ja laitetilat"",""sv"":""Datacentraler och serverhallar"",""en"":""Data centres and IT areas""}",0.005
0521,"{""fi"":""Tietoliikenteen rakennukset"",""sv"":""Telekommunikationsbyggnader"",""en"":""Communications buildings""}",0.005
0590,"{""fi"":""Muut liikenteen rakennukset"",""sv"":""Övriga trafikbyggnader"",""en"":""Other transport and communications buildings""}",0.01
0610,"{""fi"":""Terveys- ja hyvinvointikeskukset"",""sv"":""Centraler för hälsa och välbefinnande"",""en"":""Health care and wellness centres""}",0.01
